//X Y Z R G B Nx Ny Nz
-11.45412254 6.44459200 492.75241089 153 153 153 0.000000 0.000000 0.000000
-11.45558739 6.43893623 492.76214600 153 153 153 0.000000 0.000000 0.000000
-11.45420456 6.44025373 492.71139526 153 153 153 0.000000 0.000000 0.000000
-11.44340706 6.44111490 492.75338745 153 153 153 0.000000 0.000000 0.000000
-11.43563271 6.44055748 492.71472168 153 153 153 0.000000 0.000000 0.000000
-11.45555115 6.43360376 492.75341797 153 153 153 0.000000 0.000000 0.000000
-11.44931507 6.44326735 492.73730469 153 153 153 0.000000 0.000000 0.000000
-11.44097424 6.44137144 492.72711182 153 153 153 0.000000 0.000000 0.000000
-11.45987701 6.44159317 492.74505615 153 153 153 0.000000 0.000000 0.000000
-11.43464947 6.44413853 492.71395874 153 153 153 0.000000 0.000000 0.000000
-11.45986366 6.43808365 492.76181030 153 153 153 0.000000 0.000000 0.000000
-11.45823765 6.43807030 492.76394653 153 153 153 0.000000 0.000000 0.000000
-11.45302296 6.43939924 492.76312256 153 153 153 0.000000 0.000000 0.000000
-11.45794964 6.44362831 492.74749756 153 153 153 0.000000 0.000000 0.000000
-11.43291092 6.44111300 492.70132446 153 153 153 0.000000 0.000000 0.000000
-11.46094894 6.44006491 492.76422119 153 153 153 0.000000 0.000000 0.000000
-11.44184113 6.43759394 492.72705078 153 153 153 0.000000 0.000000 0.000000
-11.43757057 6.43649101 492.72241211 153 153 153 0.000000 0.000000 0.000000
-11.45385456 6.43700647 492.74212646 153 153 153 0.000000 0.000000 0.000000
-11.45655727 6.44508791 492.75012207 153 153 153 0.000000 0.000000 0.000000
-11.44347477 6.44066334 492.76260376 153 153 153 0.000000 0.000000 0.000000
-11.45113564 6.44552517 492.72058105 153 153 153 0.000000 0.000000 0.000000
-11.45508003 6.43553352 492.75451660 153 153 153 0.000000 0.000000 0.000000
-11.44023037 6.43157578 492.71383667 153 153 153 0.000000 0.000000 0.000000
-11.43123531 6.43485975 492.70758057 153 153 153 0.000000 0.000000 0.000000
-11.45707512 6.43515110 492.75424194 153 153 153 0.000000 0.000000 0.000000
-11.45564556 6.43633080 492.74291992 153 153 153 0.000000 0.000000 0.000000
-11.45308399 6.44464397 492.74771118 153 153 153 0.000000 0.000000 0.000000
-11.43744659 6.43832970 492.69436646 153 153 153 0.000000 0.000000 0.000000
-11.45848560 6.44400072 492.76312256 153 153 153 0.000000 0.000000 0.000000
-11.43147659 6.44033432 492.71008301 153 153 153 0.000000 0.000000 0.000000
-11.45648098 6.43909550 492.76809692 153 153 153 0.000000 0.000000 0.000000
-11.42994976 6.43512297 492.69894409 153 153 153 0.000000 0.000000 0.000000
-11.45487309 6.43531847 492.74972534 153 153 153 0.000000 0.000000 0.000000
-11.45334530 6.44416857 492.71789551 153 153 153 0.000000 0.000000 0.000000
-11.44377995 6.44023609 492.70242310 153 153 153 0.000000 0.000000 0.000000
-11.45134068 6.43470526 492.74209595 153 153 153 0.000000 0.000000 0.000000
-11.45300674 6.44097805 492.76403809 153 153 153 0.000000 0.000000 0.000000
-11.45585823 6.44049501 492.76818848 153 153 153 0.000000 0.000000 0.000000
-11.43428898 6.43638897 492.71322632 153 153 153 0.000000 0.000000 0.000000
-11.45214558 6.44312143 492.73999023 153 153 153 0.000000 0.000000 0.000000
-11.45424366 6.43345785 492.75173950 153 153 153 0.000000 0.000000 0.000000
-11.42957497 6.43208838 492.69226074 153 153 153 0.000000 0.000000 0.000000
-11.45688534 6.44126415 492.75259399 153 153 153 0.000000 0.000000 0.000000
-11.44412422 6.44537163 492.72445679 153 153 153 0.000000 0.000000 0.000000
-11.45786762 6.43264246 492.75708008 153 153 153 0.000000 0.000000 0.000000
-11.46018505 6.43747902 492.76571655 153 153 153 0.000000 0.000000 0.000000
-11.45982838 6.44019461 492.75567627 153 153 153 0.000000 0.000000 0.000000
-11.45601559 6.43425703 492.75473022 153 153 153 0.000000 0.000000 0.000000
-11.44673443 6.43490696 492.73464966 153 153 153 0.000000 0.000000 0.000000
-11.45312881 6.44441748 492.74737549 153 153 153 0.000000 0.000000 0.000000
-11.43431950 6.44125223 492.70974731 153 153 153 0.000000 0.000000 0.000000
-11.45746994 6.44208097 492.75604248 153 153 153 0.000000 0.000000 0.000000
-11.45017433 6.44129086 492.75415039 153 153 153 0.000000 0.000000 0.000000
-11.45811176 6.43609524 492.75448608 153 153 153 0.000000 0.000000 0.000000
-11.43017864 6.44002819 492.69369507 153 153 153 0.000000 0.000000 0.000000
-11.45659256 6.43744564 492.75369263 153 153 153 0.000000 0.000000 0.000000
-11.43891144 6.43481064 492.72506714 153 153 153 0.000000 0.000000 0.000000
-11.45460129 6.44628096 492.74740601 153 153 153 0.000000 0.000000 0.000000
-11.45351982 6.44266415 492.75350952 153 153 153 0.000000 0.000000 0.000000
